id	lemma	level	score
EN4838	asshat	conservative	2.7
EN5935	stupidness	conservative	2.7
EN498	foolishness	conservative	2.7
EN5045	incompetent	conservative	2.7
EN496	stupidity	conservative	2.7
EN5947	stupidety	conservative	2.7
EN1385	fuckup	conservative	2.7
EN339	trash	conservative	2.7
EN396	brute	conservative	2.7
EN1299	arsehole	conservative	2.7
EN1311	muthafucka	conservative	2.7
EN5957	stupidities	conservative	2.7
EN7502	silly	conservative	2.7
EN511	jackass	conservative	2.7
EN4814	asshattery	conservative	2.7
EN1779	worthless	conservative	2.7
EN1133	blabbermouth	conservative	2.7
EN5953	stupidest	conservative	2.7
EN3440	midget	conservative	2.7
EN7585	plonker	conservative	2.7
EN5939	stupider	conservative	2.7
EN1319	mother fucka	conservative	2.7
EN504	goof	conservative	2.7
EN1107	knave	conservative	2.4
EN523	putz	conservative	2.4
EN443	ass-rape	conservative	2.4
EN940	rentboy	conservative	2.4
EN2029	slanderer	conservative	2.4
EN1929	beyotch	conservative	2.4
EN2985	lummox	conservative	2.4
EN1705	bum	conservative	2.4
EN513	fool	conservative	2.4
EN1746	miscreants	conservative	2.4
EN532	blockhead	conservative	2.4
EN525	dolt	conservative	2.4
EN459	assrape	conservative	2.4
EN1741	scoundrel	conservative	2.4
EN4425	whoredom	conservative	2.4
EN529	dunce	conservative	2.4
EN1058	foolish	conservative	2.4
EN437	assraped	conservative	2.4
EN442	ass-raped	conservative	2.4
EN906	slutz	conservative	2.4
EN4964	deceiver	conservative	2.2
EN723	brigand	conservative	2.2
EN1066	bigotry	conservative	2.2
EN1064	bigot	conservative	2.2
EN1235	pig	conservative	2.2
EN3196	hypocrite	conservative	2.2
EN1063	bigots	conservative	2.2
EN1695	git	conservative	2.2
EN4246	goof-off	conservative	2.2
EN1703	lowlife	conservative	2.2
EN1065	bigoted	conservative	2.2
EN4965	cheater	conservative	2.2
EN4963	cheat	conservative	2.2
EN4966	immoral	conservative	2.2
EN3200	hypocrites	conservative	2.2
EN6832	wastrel	conservative	2.2
EN3677	immorality	conservative	2.2
EN1987	calumniators	inclusive	2.1
EN1117	malefactor	inclusive	2.1
EN1972	calumniator	inclusive	2.1
EN1962	slanderers	inclusive	2.1
EN1884	sissy	conservative	2.1
EN7364	snob	conservative	2.1
EN4217	pussies	conservative	2.1
EN5440	nerd	conservative	2.1
EN2815	pussy	conservative	2.1
EN1882	wimp	conservative	2.1
EN6671	gyp	inclusive	2.1
EN4701	buffoon	inclusive	2.0
EN3549	immoralist	inclusive	2.0
EN4700	clown	inclusive	2.0
EN3583	amorally	inclusive	2.0
EN3622	immorals	inclusive	2.0
EN3544	immoralities	inclusive	2.0
EN3906	buffoonery	inclusive	2.0
EN3543	immorally	inclusive	2.0
EN3564	immoralists	inclusive	2.0
EN3551	immoralism	inclusive	2.0
EN3911	buffoons	inclusive	2.0
EN7995	amoral	inclusive	2.0
EN1232	sloven	conservative	1.9
EN5562	fatshit	conservative	1.9
EN2053	scum	conservative	1.9
EN1234	slob	conservative	1.9
EN1883	pansy	conservative	1.9
EN4343	nag	inclusive	1.9
EN3083	diddlyshit	conservative	1.9
EN1886	wuss	conservative	1.9
EN1890	crybaby	conservative	1.9
EN7077	snotty	conservative	1.8
EN6856	mendicant	conservative	1.8
EN2454	homophobic slurs	conservative	1.8
EN5436	nerdiness	conservative	1.8
EN3744	ponce	conservative	1.8
EN2677	wankiest	conservative	1.8
EN2523	cowardliness	conservative	1.8
EN2684	wanky	conservative	1.8
EN2680	wankily	conservative	1.8
EN2522	cowardlinesses	conservative	1.8
EN4210	busybody	conservative	1.8
EN2682	tosser	conservative	1.8
EN2094	pederast	conservative	1.8
EN2683	wankier	conservative	1.8
EN2366	fuckier	conservative	1.8
EN2520	cowardices	conservative	1.8
EN2376	fuckin	conservative	1.8
EN4077	pro-fascist	conservative	1.8
EN6911	wank	conservative	1.8
EN2358	fucked	conservative	1.8
EN2346	fuckiest	conservative	1.8
EN2519	cowardice	conservative	1.8
EN7136	whoremaster	conservative	1.8
EN2934	rabble-rouser	conservative	1.8
EN2349	fuckin'	conservative	1.8
EN4346	miscreant	conservative	1.8
EN2334	fuckingly	conservative	1.8
EN2311	fuckwad	conservative	1.8
EN6213	swine	inclusive	1.7
EN1246	mongrel	inclusive	1.6
EN668	bollock	inclusive	1.6
EN670	bollocking	inclusive	1.6
EN3115	filth	inclusive	1.6
EN645	whorehouse	inclusive	1.6
EN226	buttfuck	inclusive	1.5
EN5590	pederastic	inclusive	1.5
EN277	assfucking	inclusive	1.5
EN5580	pederasty	inclusive	1.5
EN258	fudgepacker	inclusive	1.5
EN257	assfucked	inclusive	1.5
EN205	buttfucking	inclusive	1.5
